ds_voxel_size: 0.010000
ds_voxel_size_lc: 0.005000
use_cloud_scale_for_ds: 0
cloud_scale_previuos_cloud_weight: 0.900000
ds_lc_voxel_size_ratio: 2.000000
points_per_cloud_scale: 25
keyframe_threshold_length: 0.010000
keyframe_threshold_angle: 5.000000
keyframe_threshold_fitness: 0.500000
keyframe_threshold_index: 1
scan_matching_method: 0
icp_max_iterations: 15
icp_max_coarse_iterations: 5
icp_max_correspondence_distance: 0.500000
coarse_correspondence_factor: 10
local_map_width: 50
local_map_init_frames_count: 100
imu_topic:/imu/data
use_ins_guess: 0
use_preint_imu_guess: 0
use_lidar_odometry_guess: 0
use_preint_undistortion: 1
sync_offset_ms: 0.000000
translation_std_min_x: 0.001000
translation_std_min_y: 0.001000
translation_std_min_z: 0.001000
gamma_1: 10.000000
gamma_2: 0.500000
gamma_3: 15.000000
gamma_4: 20.000000
gamma_5: 0.500000
time, x, y, z, vx, vy, vz, obs_vx, obs_vy, obs_vz, qw, qx, qy, qz, fitness, residual_x, residual_y, residual_z, residual_qw, residual_qx, residual_qy, residual_qz, cov_x, cov_y, cov_z, bias_acc_x, bias_acc_y, bias_acc_z, bias_ang_x, bias_ang_y, bias_ang_z
1677769843.500960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1677769843.600926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769843.700802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769843.800642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769843.900482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.000322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.100162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.200002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.299842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.399682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.499522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.599362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.699199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.799039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.898879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769844.998719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.098559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.198399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.299199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.399039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.498879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.598719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.698539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.798379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.899179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769845.999019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.098859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.198699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.298539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.398379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.499179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.599019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.698872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.798712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.898552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769846.998392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.099192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.199032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.298872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.398712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.498552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.598392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.699188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.799028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.898868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769847.998708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.098548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.198388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.299188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.399028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.498868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.598708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.698596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.798435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.898275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769848.999075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.098915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.198756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.298595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.398435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.498276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.599075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.698905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.798745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
1677769849.898585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379771,0.003418,0.008060,-0.925039,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
