ds_voxel_size: 1.000000
ds_voxel_size_lc: 0.500000
use_cloud_scale_for_ds: 0
cloud_scale_previuos_cloud_weight: 0.900000
ds_lc_voxel_size_ratio: 1.500000
points_per_cloud_scale: 50
keyframe_threshold_length: 2.000000
keyframe_threshold_angle: 90.000000
keyframe_threshold_fitness: 1.000000
keyframe_threshold_index: 0
scan_matching_method: 0
icp_max_iterations: 1000
icp_max_coarse_iterations: 0
icp_max_correspondence_distance: 0.500000
coarse_correspondence_factor: 10
local_map_width: 500
local_map_init_frames_count: 10
imu_topic:/imu/data_madgwick
use_ins_guess: 0
use_preint_imu_guess: 0
use_lidar_odometry_guess: 0
use_preint_undistortion: 1
sync_offset_ms: 0.000000
translation_std_min_x: 0.001000
translation_std_min_y: 0.001000
translation_std_min_z: 0.001000
gamma_1: 2.000000
gamma_2: 0.500000
gamma_3: 1.000000
gamma_4: 20.000000
gamma_5: 0.100000
time, x, y, z, vx, vy, vz, obs_vx, obs_vy, obs_vz, qw, qx, qy, qz, fitness, residual_x, residual_y, residual_z, residual_qw, residual_qx, residual_qy, residual_qz, cov_x, cov_y, cov_z, bias_acc_x, bias_acc_y, bias_acc_z, bias_ang_x, bias_ang_y, bias_ang_z
1699966739.700371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1699966739.800211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
1699966739.900051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
1699966740.000387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
1699966740.100227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
1699966740.200068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
1699966741.600408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000421,-0.008106,-0.003157,0.998549,0.000493,-0.007055,0.053392,0.000000,0.002700,-0.011128,0.006093,0.999987,-0.004890,0.001214,-0.000188,0.000001,0.000001,0.000001,-0.000005,0.000114,-0.000061,0.000244,-0.000061,0.000009
1699966741.700248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000060,-0.000594,-0.002330,0.998549,0.000493,-0.007055,0.053392,0.000000,-0.000015,0.000050,0.000128,1.000000,-0.000699,0.000192,0.000004,0.000001,0.000001,0.000001,0.000000,-0.000001,-0.000001,0.000035,-0.000010,-0.000000
1699966741.800088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000522,0.000747,-0.002118,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000030,-0.000038,0.000122,1.000000,-0.000699,0.000170,-0.000008,0.000001,0.000001,0.000001,-0.000000,0.000000,-0.000001,0.000035,-0.000009,0.000000
1699966741.900409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000368,0.000272,-0.001833,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000007,0.000014,0.000104,1.000000,-0.000700,0.000183,-0.000021,0.000001,0.000001,0.000001,-0.000000,-0.000000,-0.000001,0.000035,-0.000009,0.000001
1699966742.000365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000236,0.000223,-0.001939,0.998549,0.000493,-0.007055,0.053392,0.000000,0.000001,0.000014,0.000108,1.000000,-0.000733,0.000184,-0.000030,0.000001,0.000001,0.000001,-0.000000,-0.000000,-0.000001,0.000037,-0.000009,0.000001
1699966742.100205,0.007928,-0.007319,0.012122,0.072850,-0.081326,0.120411,0.015470,-0.014406,0.022290,0.998577,0.000556,-0.006946,0.052874,0.071066,0.008510,-0.006458,0.012331,1.000000,-0.000603,0.000291,-0.000545,0.000053,0.000066,0.000145,-0.000073,0.000081,-0.000121,0.000030,-0.000015,0.000027
1699966742.200045,-0.008913,0.002081,0.004874,-0.158034,0.110871,-0.070088,-0.007382,-0.005699,0.023170,0.998552,0.000464,-0.006840,0.053357,0.078558,-0.011650,0.003036,0.001430,0.999999,-0.001290,0.000542,0.000029,0.000380,0.000231,0.000170,0.000034,0.000026,-0.000138,0.000095,-0.000042,0.000026
1699966742.300365,-0.001849,-0.000688,0.002417,0.067055,-0.035116,-0.025531,-0.012240,-0.002580,0.014403,0.998534,0.001103,-0.007089,0.053656,0.044191,-0.002353,0.001382,-0.003279,0.999999,-0.001083,0.000315,0.000311,0.000091,0.000020,0.000018,0.000055,0.000008,-0.000106,0.000149,-0.000057,0.000010
1699966742.400205,-0.005294,-0.001357,-0.014280,-0.037410,-0.003206,-0.166713,-0.020954,-0.000352,-0.029438,0.998508,0.000657,-0.007255,0.054115,0.042247,-0.003995,0.000603,-0.020986,0.999998,-0.002012,0.000378,0.000780,0.000010,0.000001,0.000305,0.000099,-0.000006,0.000102,0.000249,-0.000076,-0.000029
1699966742.500045,-0.002851,-0.014098,0.011909,0.014283,-0.128760,0.260947,-0.013347,-0.024654,-0.010443,0.998508,0.000541,-0.007772,0.054049,0.040549,0.001849,-0.011668,0.010520,0.999997,-0.002407,0.000181,-0.000168,0.000033,0.000236,0.001219,0.000103,0.000112,-0.000004,0.000370,-0.000085,-0.000020
1699966742.600365,0.008107,0.002057,0.016083,0.127215,0.149038,0.039791,0.016088,-0.010494,0.017967,0.998554,0.001020,-0.008118,0.053133,0.040544,0.011550,0.009276,0.014903,0.999998,-0.001971,0.000428,-0.000766,0.000126,0.000419,0.000003,-0.000034,0.000046,-0.000148,0.000468,-0.000107,0.000018
1699966742.700205,0.015659,-0.007880,0.002639,0.062447,-0.107160,-0.135570,0.064566,-0.009350,0.014650,0.998467,0.000941,-0.008927,0.054610,0.042492,0.016571,-0.000133,-0.001933,0.999997,-0.002226,0.000779,0.000473,0.000008,0.000126,0.000325,-0.000195,0.000083,-0.000123,0.000580,-0.000146,-0.000006
1699966742.800045,0.035907,0.004459,0.008342,0.215031,0.100301,0.052916,0.123356,0.012672,0.020820,0.998467,-0.000130,-0.009671,0.054502,0.066064,0.027114,0.014500,0.002576,0.999996,-0.002682,0.001151,-0.000371,0.000219,0.000168,0.000001,-0.000493,-0.000000,-0.000137,0.000714,-0.000203,0.000013
1699966742.900365,0.043072,0.012270,0.016288,0.081262,0.069763,0.078015,0.173067,0.045204,0.035574,0.998404,-0.000866,-0.009936,0.055588,0.053824,0.017332,0.019155,0.007939,0.999993,-0.003688,0.000590,0.000161,0.000029,0.000005,0.000085,-0.000707,-0.000149,-0.000208,0.000898,-0.000233,0.000005
